TIME(MS),COMMAND,VALUE
 056150 ,6      ,0
 056150 ,7      ,0
 056150 ,8      ,1
 056200 ,6      ,1
 056200 ,7      ,1
 056250 ,3      ,1
 056250 ,4      ,0
 056250 ,7      ,0
 056300 ,7      ,1
 056350 ,2      ,1
 056350 ,3      ,0
 056450 ,8      ,0
 056500 ,2      ,0
 056500 ,3      ,1
 056500 ,7      ,0
 056500 ,8      ,1
 056550 ,7      ,1
 056550 ,8      ,0
 056600 ,8      ,1
 056650 ,2      ,1
 056650 ,3      ,0
 056650 ,6      ,0
 056650 ,7      ,0
 056700 ,6      ,1
 056700 ,7      ,1
 056700 ,8      ,0
 056750 ,8      ,1
 056800 ,1      ,1
 056800 ,2      ,0
 056950 ,1      ,0
 056950 ,3      ,1
 056950 ,6      ,0
 056950 ,7      ,0
 057000 ,6      ,1
 057000 ,8      ,0
 057050 ,2      ,1
 057050 ,3      ,0
 057050 ,7      ,1
 057050 ,8      ,1
 057200 ,2      ,0
 057200 ,3      ,1
 057250 ,6      ,0
 057250 ,7      ,0
 057300 ,6      ,1
 057300 ,7      ,1
 057350 ,2      ,1
 057350 ,3      ,0
 057350 ,7      ,0
 057400 ,6      ,0
 057400 ,7      ,1
 057400 ,8      ,0
 057450 ,2      ,0
 057450 ,5      ,1
 057450 ,7      ,0
 057450 ,8      ,1
 057500 ,4      ,1
 057500 ,7      ,1
 057550 ,3      ,1
 057550 ,5      ,0
 057550 ,6      ,1
 057550 ,8      ,0
 057600 ,2      ,1
 057600 ,4      ,0
 057600 ,7      ,0
 057650 ,1      ,1
 057650 ,6      ,0
 057700 ,2      ,0
 057950 ,1      ,0
 057950 ,3      ,0
 057950 ,5      ,1
 057950 ,8      ,1
 058000 ,4      ,1
 058000 ,7      ,1
 058050 ,3      ,1
 058050 ,5      ,0
 058050 ,6      ,1
 058050 ,8      ,0
 058100 ,2      ,1
 058100 ,7      ,0
 058150 ,1      ,1
 058150 ,3      ,0
 058150 ,6      ,0
 058250 ,1      ,0
 058350 ,2      ,0
 058350 ,4      ,0
 058350 ,5      ,1
 058350 ,8      ,1
 058400 ,4      ,1
 058400 ,7      ,1
 058450 ,3      ,1
 058450 ,6      ,1
 058450 ,8      ,0
 058500 ,2      ,1
 058500 ,4      ,0
 058500 ,7      ,0
 058550 ,1      ,1
 058600 ,2      ,0
 058650 ,1      ,0
 058750 ,6      ,0
 058750 ,7      ,1
 058750 ,8      ,1
 059150 ,3      ,0
 059150 ,4      ,1
 059150 ,5      ,0
 059150 ,7      ,0
 059150 ,8      ,0
 059200 ,6      ,1
 059250 ,7      ,1
 059300 ,3      ,1
 059300 ,4      ,0
 059300 ,6      ,0
 059300 ,7      ,0
 059300 ,8      ,1
 059350 ,6      ,1
 059350 ,7      ,1
 059450 ,3      ,0
 059450 ,4      ,1
 059450 ,8      ,0
 059500 ,8      ,1
 059550 ,6      ,0
 059550 ,8      ,0
 059650 ,3      ,1
 059650 ,4      ,0
 059650 ,6      ,1
 059650 ,8      ,1
 059700 ,7      ,0
 059750 ,2      ,1
 059750 ,3      ,0
 059750 ,8      ,0
 059850 ,6      ,0
 059850 ,7      ,1
 059900 ,2      ,0
 059900 ,3      ,1
 059950 ,6      ,1
 059950 ,8      ,1
 060000 ,6      ,0
 060000 ,7      ,0
 060050 ,2      ,1
 060050 ,3      ,0
 060050 ,6      ,1
 060100 ,6      ,0
 060150 ,6      ,1
 060150 ,7      ,1
 060200 ,1      ,1
 060200 ,2      ,0
 060250 ,6      ,0
 060250 ,7      ,0
 060300 ,7      ,1
 060300 ,8      ,0
 060350 ,1      ,0
 060350 ,3      ,1
 060350 ,6      ,1
 060350 ,8      ,1
 060400 ,6      ,0
 060450 ,2      ,1
 060450 ,3      ,0
 060450 ,6      ,1
 060450 ,8      ,0
 060550 ,6      ,0
 060550 ,7      ,0
 060550 ,8      ,1
 060600 ,2      ,0
 060600 ,3      ,1
 060600 ,6      ,1
 060600 ,7      ,1
 060650 ,7      ,0
 060700 ,6      ,0
 060700 ,7      ,1
 060750 ,2      ,1
 060750 ,3      ,0
 060750 ,7      ,0
 060750 ,8      ,0
 060850 ,2      ,0
 060850 ,5      ,1
 060850 ,8      ,1
 060900 ,4      ,1
 060900 ,7      ,1
 060950 ,3      ,1
 060950 ,5      ,0
 060950 ,6      ,1
 060950 ,8      ,0
 061000 ,2      ,1
 061000 ,4      ,0
 061000 ,7      ,0
 061050 ,1      ,1
 061050 ,6      ,0
 061100 ,2      ,0
 061350 ,1      ,0
 061350 ,3      ,0
 061350 ,5      ,1
 061350 ,8      ,1
 061400 ,4      ,1
 061400 ,7      ,1
 061450 ,3      ,1
 061450 ,6      ,1
 061450 ,8      ,0
 061500 ,2      ,1
 061500 ,4      ,0
 061500 ,7      ,0
 061550 ,1      ,1
 061550 ,6      ,0
 061600 ,2      ,0
 061650 ,1      ,0
 061750 ,3      ,0
 061750 ,8      ,1
 061800 ,4      ,1
 061800 ,7      ,1
 061850 ,3      ,1
 061850 ,5      ,0
 061850 ,6      ,1
 061850 ,8      ,0
 061900 ,2      ,1
 061900 ,7      ,0
 061950 ,1      ,1
 061950 ,3      ,0
 062050 ,1      ,0
 062150 ,6      ,0
 062150 ,7      ,1
 062150 ,8      ,1
 062500 ,1      ,1
 062550 ,1      ,0
 062550 ,2      ,0
 062550 ,7      ,0
 062550 ,8      ,0
 062650 ,6      ,1
 062700 ,7      ,1
 062750 ,3      ,1
 062750 ,4      ,0
 062750 ,6      ,0
 062750 ,7      ,0
 062750 ,8      ,1
 062800 ,6      ,1
 062800 ,7      ,1
 062900 ,3      ,0
 062900 ,4      ,1
 062900 ,8      ,0
 062950 ,8      ,1
 063000 ,6      ,0
 063000 ,8      ,0
 063100 ,3      ,1
 063100 ,4      ,0
 063100 ,6      ,1
 063100 ,8      ,1
 063150 ,7      ,0
